model,split,ACC,F1_macro,throughput(samples/s)
Idefics3-8B-Llama3,Overall,0.6967441860465117,0.5972314182243592,1.575
InternVL2-2B,Overall,0.3413953488372093,0.3168531359651786,1.317
InternVL2-8B,Overall,0.6446511627906977,0.5583526045621595,1.435
InternVL3-14B,Overall,0.7348837209302326,0.7335770279986936,0.979
MGM_7B,Overall,0.5506976744186046,0.547059885224027,1.888
Qwen2.5-VL-3B-Instruct,Overall,0.6604651162790698,0.6588150942166894,6.673
Qwen2.5-VL-7B-Instruct,Overall,0.6586046511627907,0.6579757307172038,4.872
Qwen3-VL-2B-Thinking,Overall,0.6855813953488372,0.588200940374116,0.258
Qwen3-VL-8B-Instruct,Overall,0.6995348837209302,0.6961403804034373,5.309
Slime-13B,Overall,0.4827906976744186,0.4724512149806021,2.057
Slime-8B,Overall,0.5153488372093024,0.4439731595728279,1.898
Yi_VL_34B,Overall,0.5376744186046511,0.5364692746408825,1.764
Yi_VL_6B,Overall,0.5423255813953488,0.5396354134506657,4.115
cambrian_8b,Overall,0.361860465116279,0.3619689790708414,0.634
idefics2_8b,Overall,0.6920930232558139,0.5967961679709265,1.859
monkey,Overall,0.2027906976744186,0.12055620875651,0.887
monkey-chat,Overall,0.3832558139534883,0.3826890928165183,0.887
sharegpt4v_13b,Overall,0.6269767441860465,0.5373473436559959,2.096
sharegpt4v_7b,Overall,0.5162790697674419,0.4410166583230481,2.897
